,Scientific name,Common name,Class,WA listing,National listing,Kimberley,Pilbara,Goldfields,Midwest,Wheatbelt,South Coast,Swan,South West,Warren,WA listing.1,Notes
354,Malurus leucopterus edouardi,Barrow Island black and white fairy-wren,BIRD,VU,VU,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
355,Malurus leucopterus leucopterus,Dirk Hartog black and white fairy-wren,BIRD,VU,VU,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
356,Maratus sarahae,Sarah's peacock spider,INVERTEBRATE,CR,,,,,,,X,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
357,Megaptera novaeangliae,humpback whale,MAMMAL,CD & MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species and a species of special conservation interest (conservation dependent) under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. Listing as a species of special conservation interest (conservation dependent) retained. 
358,Melanotaenia pygmaea,pygmy rainbowfish,FISH,P2,,X,,,,,,,,,DBCA Priority species.,
359,Mesembriomys gouldii gouldii,"black-footed tree-rat, djintamoonga",MAMMAL,EN,EN,X,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
360,Mesembriomys macrurus,golden-backed tree-rat,MAMMAL,P4,,X,,,,,,,,,DBCA Priority species.,
361,Milyeringa justitia,Barrow cave gudgeon,FISH,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
362,Milyeringa veritas,"cave gudgeon, blind gudgeon",FISH,VU,VU,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
363,Mobula alfredi ,"reef manta ray, coastal manta ray",FISH,MI,MI,X,X,,X,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
364,Mobula birostris ,giant manta ray,FISH,MI,MI,,X,,X,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
365,Mobula eregoodoo ,pygmy devilray,FISH,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
366,Mobula thurstoni,bentfin devilray,FISH,MI,MI,,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
367,Morelia carinata,rough-scaled python,REPTILE,OS,,X,,,,,,,,,Specially protected species - Species otherwise in need of special protection (other specially protected) under the Biodiversity Conservation Act 2016.,
368,Mormopterus cobourgianus,north-western free-tailed bat,MAMMAL,P1,,X,X,,,,,,,,DBCA Priority species.,
369,Motacilla cinerea,grey wagtail,BIRD,MI,MI,X,X,,,,,,,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
370,Motacilla flava,yellow wagtail,BIRD,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
371,Mouldingia occidentalis,a camaenid land snail (eastern Napier Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
372,Myrmecobius fasciatus,"numbat, walpurti",MAMMAL,EN,EN,,,,,X,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
373,Nannatherina balstoni,Balston's pygmy perch,FISH,VU,VU,,,,,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
374,Nannoperca pygmaea,little pygmy perch,FISH,EN,EN,,,,,,,,,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
375,Nanotrachia orientalis,a camaenid land snail (eastern Napier Ranges),INVERTEBRATE,VU,,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
376,Natator depressus,flatback turtle,REPTILE,VU,VU & MI,X,X,,X,,,X,X,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
377,Nedsia chevronia,Chevron's freshwater amphipod (Barrow Island),INVERTEBRATE,P2,,,X,,,,,,,,DBCA Priority species.,
378,Nedsia fragilis,a freshwater amphipod,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
379,Nedsia humphreysi,a freshwater amphipod,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
380,Nedsia hurlberti,a freshwater amphipod,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
381,Nedsia macrosculptilis,a freshwater amphipod,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
382,Nedsia sculptilis,a freshwater amphipod,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
383,Nedsia straskraba,a freshwater amphipod,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
384,Nedsia urifimbriata,a freshwater amphipod,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
385,Neelaps calonotos,"black-striped snake, black-striped burrowing snake",REPTILE,P3,,,,,X,,,X,,,DBCA Priority species.,
386,Neopasiphae simplicior,a short-tongued bee,INVERTEBRATE,EN,CR,,,,X,,,X,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
387,Neophoca cinerea,Australian sea-lion,MAMMAL,EN,EN,,,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,"30/09/2022 Category change, uplisting from Vulnerable to Endangered. "
388,Ningbingia australis australis,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
389,Ningbingia australis elongata,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
390,Ningbingia bulla,Knob Peak camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
391,Ningbingia dentiens,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
392,Ningbingia laurina,Lauries' camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
393,Ningbingia octava,No. 8 Bore camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
394,Ningbingia res,a camaenid land snail (Ningbing Ranges),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
395,Ninox connivens connivens (southwest subpopulation),barking owl (southwest subpopulation),BIRD,P3,,,,,,X,X,X,X,X,DBCA Priority species.,
396,Nocticola flabella,"Cape Range blind cockroach, Cape Range delicate cockroach",INVERTEBRATE,P4,,,X,,,,,,,,DBCA Priority species.,
397,Northiella narethae,Naretha blue bonnet,BIRD,P4,,,,X,,,X,,,,DBCA Priority species.,
398,Nososticta pilbara,Pilbara threadtail,INVERTEBRATE,P2,,,X,,,,,,,,DBCA Priority species.,
399,Notamacropus eugenii derbianus,tammar wallaby,MAMMAL,P4,,,,,X,X,X,X,X,X,DBCA Priority species.,
400,Notamacropus irma,western brush wallaby,MAMMAL,P4,,,,,X,X,X,X,X,X,DBCA Priority species.,
401,Notomys amplus,"short-tailed hopping-mouse, yoontoo",MAMMAL,EX,EX,X,X,,X,,,,,,Extinct species under the Biodiversity Conservation Act 2016.,
402,Notomys longicaudatus,"long-tailed hopping-mouse, koolawa",MAMMAL,EX,EX,X,X,,X,X,,,,,Extinct species under the Biodiversity Conservation Act 2016.,
403,Notomys macrotis,"big-eared hopping mouse, noompa",MAMMAL,EX,EX,,,,X,X,,,,,Extinct species under the Biodiversity Conservation Act 2016.,
404,Notoryctes caurinus,"northern marsupial mole, kakarratul",MAMMAL,P4,,X,X,X,,,,,,,DBCA Priority species.,
405,Notoryctes typhlops,"southern marsupial mole, Itjaritjari",MAMMAL,P4,,,,X,,,,,,,DBCA Priority species.,
406,Notoscincus butleri,lined soil-crevice skink (Dampier),REPTILE,P4,,,X,,,,,,,,DBCA Priority species.,
407,Numenius madagascariensis,eastern curlew,BIRD,CR,CR & MI,X,X,,X,,X,X,X,X,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
408,Numenius minutus,little curlew,BIRD,MI,MI,X,X,,X,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
409,Numenius phaeopus,whimbrel,BIRD,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
410,Nyctophilus major tor,central long-eared bat,MAMMAL,P3,,,,X,X,X,,,,,DBCA Priority species.,
411,Occirhenea georgiana,"a rhytidid land snail, Albany carnivorous snail",INVERTEBRATE,EX,,,,,,,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,
412,Oceanites oceanicus,Wilson's storm-petrel,BIRD,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
413,Ogyris subterrestris petrina,arid bronze azure butterfly,INVERTEBRATE,CR,CR,,,X,,X,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
414,Onychogalea lunata,"crescent nailtail wallaby, tjawalpa",MAMMAL,EX,EX,X,X,,X,X,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,
415,Onychoprion anaethetus,bridled tern,BIRD,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
416,Ophisternon candidum,blind cave eel,FISH,VU,VU,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
417,Orcaella heinsohni,Australian snubfin dolphin,MAMMAL,MI & P4,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016 and a DBCA Priority species.,"30/09/2022 Listed as a specially protected migratory species. Priority listing retained, as relating to near threatened status. "
418,Orcinus orca,killer whale,MAMMAL,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
419,Ordtrachia elegans,a camaenid land snail (Jeremiah Hills),INVERTEBRATE,CR,,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
420,Ordtrachia septentrionalis,Rosewood keeled snail,INVERTEBRATE,CR,CR,X,,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
421,Osphranter robustus isabellinus,Barrow Island euro,MAMMAL,VU,VU,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
422,Oxyura australis,blue-billed duck,BIRD,P4,,,X,,X,X,X,X,X,X,DBCA Priority species.,
423,Pachysaga strobila,Vasse pachysaga (Busselton-Donnybrook),INVERTEBRATE,P1,,,,,,,,,X,,DBCA Priority species.,
424,Pandion haliaetus,osprey,BIRD,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Scientific name changed from Pandion cristatus to Pandion haliaetus.
425,Paradraculoides anachoretus,Mesa A paradraculoides,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
426,Paradraculoides bythius,Mesa B/C paradraculoides,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
427,Paradraculoides gnophicola,Mesa G paradraculoides,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
428,Paradraculoides kryptus,Mesa K paradraculoides,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
429,Parantechinus apicalis,dibbler,MAMMAL,EN,EN,,,,X,,X,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
430,Paraplatyarthrus subterraneus,Poseidon slater,INVERTEBRATE,P1,,,,X,,,,,,,DBCA Priority species.,
431,Parartemia contracta,a brine shrimp (Wheatbelt),INVERTEBRATE,P1,,,,,,X,,,,,DBCA Priority species.,
432,Parasuta spectabilis bushi,spectacled hooded snake (Esperance),REPTILE,P1,,,,,,,X,,,,DBCA Priority species.,
433,Paroplocephalus atriceps,Lake Cronin snake,REPTILE,P3,,,,,,X,X,,,,DBCA Priority species.,
434,Perameles bougainville,"Shark Bay bandicoot, western barred bandicoot, little marl, Shark Bay bandicoot",MAMMAL,VU,EN,,,,X,X,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Shark Bay bandicoot added as the preferred common name. 
435,Perameles eremiana,"desert bandicoot, walilya",MAMMAL,EX,EX,X,X,,,,,,,,Extinct species under the Biodiversity Conservation Act 2016.,
436,Perameles myosuros,Marl,MAMMAL,EX,EX,,,,,X,X,X,,,Extinct species under the Biodiversity Conservation Act 2016.,
437,Perameles papillon,"Nullarbor barred bandicoot, butterfly bandicoot",MAMMAL,EX,EX,,,,,,X,,,,Extinct species under the Biodiversity Conservation Act 2016.,30/09/2022 Added butterfly bandicoot as a common name. 
438,Petrogale burbidgei,monjon,MAMMAL,P4,,X,,,,,,,,,DBCA Priority species.,
439,Petrogale concinna monastria,nabarlek (Kimberley),MAMMAL,EN,EN,X,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
440,Petrogale lateralis centralis,Central Australian rock-wallaby,MAMMAL,VU,VU,,,X,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Subspecies Petrogale lateralis subsp. (MacDonnell Ranges) formally described and name as Petrogale lateralis centralis by Eldridge & Potter 2020.
441,Petrogale lateralis hacketti,Recherche black-footed rock-wallaby,MAMMAL,VU,VU,,,,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
442,Petrogale lateralis kimberleyensis,West Kimberley rock-wallaby,MAMMAL,EN,EN,X,,,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Subspecies Petrogale lateralis subsp. (West Kimberley) formally described and name as Petrogale lateralis kimberleyensis by Eldridge & Potter 2020.
443,Petrogale lateralis lateralis,"black-flanked rock-wallaby, black-footed rock-wallaby, moororong",MAMMAL,EN,EN,,X,X,X,X,X,X,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
444,Petropseudes dahli,"rock ringtail possum, wogoit",MAMMAL,P3,,X,,,,,,,,,DBCA Priority species.,
445,Pezoporus flaviventris,western ground parrot,BIRD,CR,CR,,,,,,X,,X,X,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
446,Pezoporus occidentalis,night parrot,BIRD,CR,EN,X,X,X,X,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
447,Phaethon lepturus,white-tailed tropicbird,BIRD,MI,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
448,Phaethon rubricauda,red-tailed tropicbird,BIRD,MI & P4,MI,X,X,,X,,X,X,X,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016 and a DBCA Priority species.,
449,Phalaropus lobatus,red-necked phalarope,BIRD,MI,MI,X,X,,X,X,X,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
450,Phaps elegans (Abrolhos subpopulation),brush bronzewing (Abrolhos subpopulation),BIRD,P4,,,,,X,,,,,,DBCA Priority species.,
451,Phascogale calura,"red-tailed phascogale, kenngoor",MAMMAL,CD,VU,,,,,X,X,X,X,,Specially protected species - Species of special conservation interest (conservation dependent) under the Biodiversity Conservation Act 2016.,
452,Phascogale tapoatafa kimberleyensis,Kimberley brush-tailed phascogale,MAMMAL,VU,VU,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
453,Phascogale tapoatafa wambenger,"south-western brush-tailed phascogale, wambenger",MAMMAL,CD,,,,,X,X,X,X,X,X,Specially protected species - Species of special conservation interest (conservation dependent) under the Biodiversity Conservation Act 2016.,
454,Phasmodes jeeba,springtime corroboree stick katydid (Eneabba),INVERTEBRATE,P3,,,,,X,,,,,,DBCA Priority species.,
455,Philomachus pugnax,ruff,BIRD,MI,MI,X,X,,X,,X,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Second common name removed. 
456,Phoebetria fusca,sooty albatross,BIRD,EN,VU & MI,,,,,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
457,Phoebetria palpebrata,light-mantled albatross,BIRD,MI & P4,MI,,,,,,X,,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016 and a DBCA Priority species.,
458,Phycodurus eques,leafy sea dragon,FISH,P2,,,,,,,X,X,X,X,DBCA Priority species.,
459,Physeter macrocephalus,sperm whale,MAMMAL,VU,MI,X,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
460,Pilsbrycharopa tumida,a charopid land snail (Noonkanbah),INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
461,Platycercus icterotis xanthogenys,western rosella (inland),BIRD,P4,,,,X,X,X,X,X,,,DBCA Priority species.,
462,Plegadis falcinellus,glossy ibis,BIRD,MI,MI,X,X,X,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
463,Pletholax gracilis edelensis,keeled legless lizard (Shark Bay),REPTILE,P3,,,,,X,,,,,,DBCA Priority species.,
464,Pluvialis fulva,Pacific golden plover,BIRD,MI,MI,X,X,X,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
465,Pluvialis squatarola,grey plover,BIRD,MI,MI,X,X,,X,X,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
466,Pogona minor minima,Abrolhos dwarf bearded dragon,REPTILE,VU,,,,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
467,Polytelis alexandrae,princess parrot,BIRD,P4,VU,X,X,X,X,,,,,,DBCA Priority species.,
468,Potorous gilbertii,Gilbert's potoroo,MAMMAL,CR,CR,,,,,,X,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
469,Potorous platyops,broad-faced potoroo,MAMMAL,EX,EX,,,,X,X,X,X,,,Extinct species under the Biodiversity Conservation Act 2016.,
470,Prionospio thalanji,Bundera Sinkhole worm,INVERTEBRATE,CR,,,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
471,Pristis clavata,dwarf sawfish,FISH,MI & P1,VU & MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016 and a DBCA Priority species.,"30/09/2022 Listed as a specially protected migratory species. Priority listing retained, as relating to near threatened status. "
472,Pristis pristis,freshwater sawfish,FISH,MI & P3,VU & MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016 and a DBCA Priority species.,"30/09/2022 Listed as a specially protected migratory species. Priority listing retained, as relating to near threatened status. "
473,Pristis zijsron,green sawfish,FISH,VU,VU,X,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
474,Procellaria aequinoctialis,white-chinned petrel,BIRD,VU,MI,,,,,,,X,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Repeal of migratory listing. Under the WA BC Act a species listed as threatened cannot also be listed as specially protected. 
475,Prymnbriareus nimberlinus,Nimberline camaenid land snail (El Questro Station),INVERTEBRATE,P3,,X,,,,,,,,,DBCA Priority species.,
476,Psacadonotus seriatus,a fan-winged katydid (Champion Bay),INVERTEBRATE,P1,,,,,X,,,,,,DBCA Priority species.,
477,Pseudemydura umbrina,western swamp tortoise,REPTILE,CR,CR,,,,,,,X,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
478,Pseudocheirus occidentalis,"western ringtail possum, ngwayir",MAMMAL,CR,CR,,,,,X,X,X,X,X,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
479,Pseudococcus markharveyi,Banksia montana mealybug,INVERTEBRATE,CR,CR,,,,,,X,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
480,Pseudohydryphantes doegi,Doeg's watermite,INVERTEBRATE,P2,,,,,,,,,,X,DBCA Priority species.,
481,Pseudomys australis,"plains rat, palyoora",MAMMAL,VU,VU,,,X,,,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
482,Pseudomys chapmani,"western pebble-mound mouse, ngadji",MAMMAL,P4,,,X,X,X,,,,,,DBCA Priority species.,
483,Pseudomys fieldi,"Shark Bay mouse, djoongari",MAMMAL,VU,VU,,X,,X,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
484,Pseudomys occidentalis,western mouse,MAMMAL,P4,,,,X,,X,X,,,,DBCA Priority species.,
485,Pseudomys shortridgei,"heath mouse, heath rat, Dayang",MAMMAL,VU,EN,,,,,X,X,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
486,Pseudonaja affinis exilis,Rottnest Island dugite,REPTILE,P4,,,,,,,,X,,,DBCA Priority species.,
487,Pseudonaja affinis tanneri,pygmy dugite,REPTILE,P4,,,,,,,X,,,,DBCA Priority species.,
488,Psophodes nigrogularis nigrogularis,western whipbird (western heath),BIRD,EN,EN,,,,,X,X,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
489,Psophodes nigrogularis oberon,western whipbird (western mallee),BIRD,P4,,,,,,X,X,,,,DBCA Priority species.,
490,Puffinus huttoni,Hutton's shearwater,BIRD,EN,,X,X,,X,,X,X,X,X,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
491,Rhagada gibbensis,Gibb River camaenid land snail,INVERTEBRATE,P1,,X,,,,,,,,,DBCA Priority species.,
492,Rhagada harti,Mt Hart Station camaenid land snail,INVERTEBRATE,P2,,X,,,,,,,,,DBCA Priority species.,
493,Rhincodon typus,whale shark,FISH,MI,VU & MI,X,X,,X,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
494,Rhinonicteris aurantia,orange leaf-nosed bat,MAMMAL,P4,,X,X,,,,,,,,DBCA Priority species.,
495,Rhinonicteris aurantia (Pilbara form),Pilbara leaf-nosed bat,MAMMAL,VU,VU,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,30/09/2022 Order made under section 9 of the BC Act. 'form' added to scientific name.
496,Rhytidid sp. (WAM 2295-69),Stirling Range rhytidid snail,INVERTEBRATE,CR,,,,,,,X,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
497,Rostratula australis,Australian painted snipe,BIRD,EN,EN,X,X,,X,,,X,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,"30/09/2022 Second scientific name, Rostratula benghalensis australis, removed from Order."
498,Saccolaimus saccolaimus nudicluniatus,bare-rumped sheath-tailed bat,MAMMAL,P3,VU,X,,,,,,,,,DBCA Priority species.,
499,Setonix brachyurus,quokka,MAMMAL,VU,VU,,,,,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
500,Simoselaps minimus,Dampierland burrowing snake,REPTILE,P2,,X,,,,,,,,,DBCA Priority species.,
501,Sminthopsis butleri,Butler's dunnart,MAMMAL,VU,VU,X,,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
502,Sminthopsis longicaudata,long-tailed dunnart,MAMMAL,P4,,,X,X,X,,,,,,DBCA Priority species.,
503,Sminthopsis psammophila,sandhill dunnart,MAMMAL,EN,EN,,,X,,,,,,,Threatened species - Endangered under the Biodiversity Conservation Act 2016.,
504,Sousa sahulensis,Australian humpback dolphin,MAMMAL,MI & P4,MI,X,X,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016 and a DBCA Priority species.,"30/09/2022 Listed as a specially protected migratory species. Priority listing retained, as relating to near threatened status. "
505,Spatula querquedula,garganey,BIRD,MI,MI,X,X,,,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,"30/09/2022 Scientific name changed to Spatula querquedula. Prevous name, Anas querquedula, retained as a second name on Order as it applies to the listing under international agreements. "
506,Speleophria bunderae,a copepod (Bundera Sinkhole),INVERTEBRATE,CR,,,X,,,,,,,,Threatened species - Critically endangered under the Biodiversity Conservation Act 2016.,
507,Speleostrophus nesiotes,Barrow Island millipede,INVERTEBRATE,VU,,,X,,,,,,,,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
508,Spicospina flammocaerulea,sunset frog,AMPHIBIAN,VU,VU,,,,,,,,,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,
509,Stenella attenuata,pantropical spotted dolphin,MAMMAL,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
510,Stenella longirostris,spinner dolphin,MAMMAL,MI & P4,MI,X,X,,X,,,X,X,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016 and a DBCA Priority species.,"30/09/2022 Listed as a specially protected migratory species. Priority listing retained, as relating to near threatened status. "
511,Stercorarius antarcticus lonnbergi,"brown skua, Subantarctic skua",BIRD,P4,,,,,X,,X,,X,X,DBCA Priority species.,
512,Stercorarius longicaudus,"long-tailed jaeger, long-tailed skua",BIRD,MI,MI,X,,,,X,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
513,Stercorarius maccormicki,south polar skua,BIRD,MI,MI,,,,,,X,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,"30/09/2022 Second scientific name, Catharacta maccormicki, removed from Order."
514,Stercorarius parasiticus,"Arctic jaeger, Arctic skua",BIRD,MI,MI,,,,X,,X,X,X,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
515,Stercorarius pomarinus,"pomarine jaeger, pomarine skua",BIRD,MI,MI,,,,,,,X,X,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
516,Sterna dougallii,roseate tern,BIRD,MI,MI,X,X,,X,,,X,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
517,Sterna hirundo,Common Tern,BIRD,MI,MI,X,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
518,Sterna paradisaea,Arctic tern,BIRD,MI,MI,,X,,X,,X,X,X,X,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,30/09/2022 Listed as a specially protected migratory species. 
519,Sterna sumatrana,black-naped Tern,BIRD,MI,MI,X,,,,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
520,Sternula albifrons,little tern,BIRD,MI,MI,X,X,,X,,,,,,Specially protected species - Migratory species under the Biodiversity Conservation Act 2016.,
521,Sternula nereis nereis,fairy tern,BIRD,VU,VU,X,X,,X,,X,X,X,X,Threatened species - Vulnerable under the Biodiversity Conservation Act 2016.,"30/09/2022 Second scientific name, Sterna nereis nereis, removed from Order."
